Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
167,150,151,3262792092000,0,0,0,0,78324453417000,81587245509000,0,0
168,162,162,-33390000000,0,0,0,0,76895529984000,76862139984000,0,0
169,167,167,11490213000,0,0,0,0,83988509787000,84000000000000,0,0
170,156,156,-23182467000,0,0,0,0,82894292250000,82871109783000,0,0
171,151,151,0,0,0,0,0,79375148706000,79375148706000,0,0
172,160,160,-2589142794000,0,0,0,0,82904499783000,80315356989000,0,0
173,103,103,-51660000000,0,0,0,0,81536558460000,81484898460000,0,0
174,146,146,0,0,0,0,0,76650000000000,76650000000000,0,0
175,142,142,501501987000,0,0,0,0,67319999985000,67821501972000,0,0
176,148,148,0,0,0,0,0,72162352374000,72162352374000,0,0
177,141,142,-505766037000,0,0,0,0,77338419501000,76832653464000,0,0
178,162,162,-135739002000,0,0,0,0,71714615637000,71578876635000,0,0
179,168,168,-157132878000,0,0,0,0,73414576914000,73257444036000,0,0
180,159,159,-166950000000,0,0,0,0,79535400777000,79368450777000,0,0
181,148,148,-118440000000,0,0,0,0,76430070507000,76311630507000,0,0
182,166,166,-33390000000,0,0,0,0,73035400221000,73002010221000,0,0
183,163,163,-1473287109000,0,0,0,0,78754286646000,77280999537000,0,0
184,156,156,-147000000000,0,0,0,0,77795595549000,77648595549000,0,0
185,161,161,0,0,0,0,0,80107229853000,80107229853000,0,0
186,163,163,-630000000,0,0,0,0,83578560870000,83577930870000,0,0
187,151,151,-630000000,0,0,0,0,88217524038000,88216894038000,0,0
188,161,161,0,0,0,0,0,86432720451000,86432720451000,0,0
189,172,172,-955137435000,0,0,0,0,84482968332000,83527830897000,0,0
190,165,165,-630000000,0,0,0,0,83528460897000,83527830897000,0,0
191,159,159,-630000000,0,0,0,0,88747895691000,88747265691000,0,0
192,154,154,-117810000000,0,0,0,0,89620802460000,89502992460000,0,0
193,152,152,-452076114000,0,0,0,0,98992272330000,98540196216000,0,0
194,145,146,589638000,0,0,0,0,99599127684000,99599717322000,0,0
195,167,167,-630000000,0,0,0,0,92074527636000,92073897636000,0,0
196,155,155,-630000000,0,0,0,0,96166811391000,96166181391000,0,0
197,163,163,-109972905000,0,0,0,0,104812006551000,104702033646000,0,0
198,167,167,-3150000000,0,0,0,0,95911602549000,95908452549000,0,0
199,165,165,-630000000,0,0,0,0,97614019251000,97613389251000,0,0
200,161,161,-149104578000,0,0,0,0,109910140557000,109761035979000,0,0
201,158,158,630000000,0,0,0,0,102748049019000,102748679019000,0,0
