Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
211,11380,1000,-18106083303000,0,0,0,0,101730352332000,83624269029000,0,0
212,10405,1000,-44342264043000,0,0,0,0,124985543550000,80643279507000,0,0
213,22961,1000,127737070818000,0,0,0,0,124262929182000,252000000000000,0,0
214,22023,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
215,21061,1000,91916289486000,0,0,0,0,91390780572000,183307070058000,0,0
216,20103,1000,76111651539000,0,0,0,0,76128474639000,152240126178000,0,0
217,19125,1000,62664730695000,0,0,0,0,69772043586000,132436774281000,0,0
218,18162,1000,37470021204000,0,0,0,0,88513665177000,125983686381000,0,0
219,17184,1000,11049474639000,0,0,0,0,107100000000000,118149474639000,0,0
220,16239,1000,22127602623000,0,0,0,0,88177665177000,110305267800000,0,0
221,15279,1000,17997073752000,0,0,0,0,87002926248000,105000000000000,0,0
222,14318,1000,11043624669000,0,0,0,0,89250000000000,100293624669000,0,0
223,13340,1000,-4444620768000,0,0,0,0,99065929578000,94621308810000,0,0
224,12347,1000,88886024955000,0,0,0,0,nil,88886024955000,0,0
225,11368,1000,-7600393752000,0,0,0,0,91600393752000,84000000000000,0,0
226,10423,1000,-10600301061000,0,0,0,0,90871432323000,80271131262000,0,0
227,23220,1000,128020767567000,0,0,0,0,123979232433000,252000000000000,0,0
228,22294,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
229,21315,1000,92120601552000,0,0,0,0,91918765134000,184039366686000,0,0
230,20365,1000,77932708980000,0,0,0,0,77886523722000,155819232702000,0,0
231,19389,1000,63234606834000,0,0,0,0,70232526357000,133467133191000,0,0
232,18430,1000,55695882291000,0,0,0,0,70283858757000,125979741048000,0,0
233,17482,1000,45729524211000,0,0,0,0,73739758512000,119469282723000,0,0
234,16506,1000,6123335778000,0,0,0,0,104940562356000,111063898134000,0,0
235,15539,1000,31260241488000,0,0,0,0,73739758512000,105000000000000,0,0
236,14555,1000,16204242579000,0,0,0,0,84000000000000,100204242579000,0,0
237,13578,1000,21130973241000,0,0,0,0,72866791893000,93997765134000,0,0
238,12605,1000,14631002547000,0,0,0,0,73278969834000,87909972381000,0,0
239,11644,1000,4379264484000,0,0,0,0,79022361495000,83401625979000,0,0
240,10660,1000,-32571350343000,0,0,0,0,112495485648000,79924135305000,0,0
241,13578,1000,78995745549000,0,0,0,0,79133119443000,158128864992000,0,0
242,12611,1000,44224735212000,0,0,0,0,63840000000000,108064735212000,0,0
243,11662,1000,15073077600000,0,0,0,0,72075258864000,87148336464000,0,0
244,10679,1000,-9873001530000,0,0,0,0,89673001530000,79800000000000,0,0
245,23593,1000,116464630632000,0,0,0,0,108785259156000,225249889788000,0,0
246,22616,1000,88673465328000,0,0,0,0,88684973664000,177358438992000,0,0
247,21686,1000,74114799971128,0,0,0,0,73696153311872,147810953283000,0,0
248,20699,1000,63830101650000,0,0,0,0,63880547136000,127710648786000,0,0
249,19763,1000,58021966905000,0,0,0,0,58206423366000,116228390271000,0,0
250,18783,1000,52153945641000,0,0,0,0,57849423366000,110003369007000,0,0
251,17803,1000,37217402544000,0,0,0,0,67096329699000,104313732243000,0,0
